id,title,authors,year,venue,arxiv,category
78,Tacotron: Towards End-to-End Speech Synthesis,Wang et al.,2017,Interspeech,1703.10135,Speech/Audio
79,Tacotron 2: Natural TTS Synthesis,Shen et al.,2018,ICASSP,1712.05884,Speech/Audio
80,FastSpeech: Fast Robust and Controllable TTS,Ren et al.,2019,NeurIPS,1905.09263,Speech/Audio
81,Whisper: Robust Speech Recognition,Radford et al.,2022,arXiv,2212.04356,Speech/Audio
82,HuBERT: Self-Supervised Speech Representation,Hsu et al.,2021,TASLP,2106.07447,Speech/Audio
83,Neural Machine Translation by Jointly Learning to Align and Translate,Bahdanau et al.,2014,ICLR,1409.0473,NLP/Translation
84,Google Neural Machine Translation System,Wu et al.,2016,arXiv,1609.08144,NLP/Translation
85,Sequence to Sequence Learning with Neural Networks,Sutskever et al.,2014,NeurIPS,1409.3215,NLP
86,Word2Vec: Efficient Estimation of Word Representations,Mikolov et al.,2013,ICLR,1301.3781,NLP
87,GloVe: Global Vectors for Word Representation,Pennington et al.,2014,EMNLP,,NLP
88,FastText: Enriching Word Vectors with Subword Information,Bojanowski et al.,2017,TACL,1607.04606,NLP
89,Skip-Thought Vectors,Kiros et al.,2015,NeurIPS,1506.06726,NLP
90,Universal Sentence Encoder,Cer et al.,2018,arXiv,1803.11175,NLP
91,SentenceBERT: Sentence Embeddings using Siamese BERT,Reimers & Gurevych,2019,EMNLP,1908.10084,NLP
92,SimCSE: Simple Contrastive Learning of Sentence Embeddings,Gao et al.,2021,EMNLP,2104.08821,NLP
93,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,He et al.,2020,ICLR,2006.03654,NLP/Transformers
94,ELECTRA: Pre-training Text Encoders as Discriminators,Clark et al.,2020,ICLR,2003.10555,NLP/Transformers
95,Longformer: Long-Document Transformer,Beltagy et al.,2020,arXiv,2004.05150,NLP/Transformers
96,BigBird: Transformers for Longer Sequences,Zaheer et al.,2020,NeurIPS,2007.14062,NLP/Transformers
97,Reformer: Efficient Transformer,Kitaev et al.,2020,ICLR,2001.04451,NLP/Transformers
98,Linformer: Self-Attention with Linear Complexity,Wang et al.,2020,arXiv,2006.04768,NLP/Transformers
99,Performer: Rethinking Attention with Performers,Choromanski et al.,2021,ICLR,2009.14794,NLP/Transformers
100,Switch Transformer: Scaling to Trillion Parameter Models,Fedus et al.,2021,JMLR,2101.03961,NLP/Transformers
101,GLaM: Efficient Scaling with Mixture-of-Experts,Du et al.,2021,arXiv,2112.06905,NLP/LLM
102,Gopher: Scaling Language Models,Rae et al.,2021,arXiv,2112.11446,NLP/LLM
103,Megatron-LM: Training Multi-Billion Parameter Language Models,Shoeybi et al.,2019,arXiv,1909.08053,NLP/LLM
104,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,BigScience,2022,arXiv,2211.05100,NLP/LLM
105,OPT: Open Pre-trained Transformer Language Models,Zhang et al.,2022,arXiv,2205.01068,NLP/LLM
106,Galactica: A Large Language Model for Science,Taylor et al.,2022,arXiv,2211.09085,NLP/LLM
107,CodeGen: Multi-Turn Program Synthesis,Nijkamp et al.,2022,arXiv,2203.13474,Code Generation
108,Codex: Evaluating Large Language Models Trained on Code,Chen et al.,2021,arXiv,2107.03374,Code Generation
109,AlphaCode: Competition-Level Code Generation,Li et al.,2022,Science,2203.07814,Code Generation
110,CodeT5: Identifier-aware Unified Pre-trained Encoder-Decoder,Wang et al.,2021,EMNLP,2109.00859,Code Generation
111,CodeBERT: A Pre-Trained Model for Programming and Natural Languages,Feng et al.,2020,EMNLP,2002.08155,Code Generation
112,GraphCodeBERT: Pre-training Code Representations,Guo et al.,2021,ICLR,2009.08366,Code Generation
113,InCoder: A Generative Model for Code Infilling,Fried et al.,2022,arXiv,2204.05999,Code Generation
114,SantaCoder: Dont reach for the stars,Allal et al.,2023,arXiv,2301.03988,Code Generation
115,StarCoder: May the source be with you,Li et al.,2023,arXiv,2305.06161,Code Generation
116,Code Llama: Open Foundation Models for Code,Rozière et al.,2023,arXiv,2308.12950,Code Generation
117,WizardCoder: Empowering Code LLMs with Evol-Instruct,Luo et al.,2023,arXiv,2306.08568,Code Generation
118,Phind-CodeLlama: Specialized Code Model,Phind,2023,Blog,,Code Generation
119,DeepSeek-Coder: Let the Code Tell the Tale,DeepSeek,2023,arXiv,2401.14196,Code Generation
120,Magicoder: Source Code Is All You Need,Wei et al.,2023,arXiv,2312.02120,Code Generation
121,Graph Neural Networks: A Review,Zhou et al.,2020,TNNLS,1812.08434,Graph Neural Networks
122,GCN: Semi-Supervised Classification with Graph Convolutional Networks,Kipf & Welling,2017,ICLR,1609.02907,Graph Neural Networks
123,GraphSAGE: Inductive Representation Learning,Hamilton et al.,2017,NeurIPS,1706.02216,Graph Neural Networks
124,GAT: Graph Attention Networks,Veličković et al.,2018,ICLR,1710.10903,Graph Neural Networks
125,GIN: How Powerful are Graph Neural Networks,Xu et al.,2019,ICLR,1810.00826,Graph Neural Networks
126,PinSage: Graph Convolutional Neural Networks for Web-Scale,Ying et al.,2018,KDD,1806.01973,Graph Neural Networks
127,DGL: Deep Graph Library,Wang et al.,2019,arXiv,1909.01315,Graph Neural Networks
128,PyG: Fast Graph Representation Learning,Fey & Lenssen,2019,arXiv,1903.02428,Graph Neural Networks
129,Neural ODEs: Neural Ordinary Differential Equations,Chen et al.,2018,NeurIPS,1806.07366,Architecture
130,Meta-Learning: Model-Agnostic Meta-Learning for Fast Adaptation,Finn et al.,2017,ICML,1703.03400,Meta-Learning
131,Prototypical Networks for Few-shot Learning,Snell et al.,2017,NeurIPS,1703.05175,Few-Shot Learning
132,Matching Networks for One Shot Learning,Vinyals et al.,2016,NeurIPS,1606.04080,Few-Shot Learning
133,Relation Network for Few-Shot Learning,Sung et al.,2018,CVPR,1711.06025,Few-Shot Learning
134,REPTILE: A Scalable Metalearning Algorithm,Nichol et al.,2018,arXiv,1803.02999,Meta-Learning
135,Neural Architecture Search with Reinforcement Learning,Zoph & Le,2017,ICLR,1611.01578,AutoML
136,ENAS: Efficient Neural Architecture Search,Pham et al.,2018,ICML,1802.03268,AutoML
137,DARTS: Differentiable Architecture Search,Liu et al.,2019,ICLR,1806.09055,AutoML
138,AutoML: A Survey of the State-of-the-Art,He et al.,2021,KBS,1908.00709,AutoML
139,EfficientNet: Rethinking Model Scaling,Tan & Le,2019,ICML,1905.11946,Computer Vision
140,EfficientNetV2: Smaller Models and Faster Training,Tan & Le,2021,ICML,2104.00298,Computer Vision
141,MobileNet: Efficient CNNs for Mobile Vision,Howard et al.,2017,arXiv,1704.04861,Computer Vision
142,MobileNetV2: Inverted Residuals and Linear Bottlenecks,Sandler et al.,2018,CVPR,1801.04381,Computer Vision
143,MobileNetV3: Searching for MobileNetV3,Howard et al.,2019,ICCV,1905.02244,Computer Vision
144,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters,Iandola et al.,2016,arXiv,1602.07360,Computer Vision
145,ShuffleNet: An Extremely Efficient CNN,Zhang et al.,2018,CVPR,1707.01083,Computer Vision
146,GhostNet: More Features from Cheap Operations,Han et al.,2020,CVPR,1911.11907,Computer Vision
147,NFNet: High-Performance Large-Scale Image Recognition,Brock et al.,2021,arXiv,2102.06171,Computer Vision
148,RegNet: Designing Network Design Spaces,Radosavovic et al.,2020,CVPR,2003.13678,Computer Vision
149,RepVGG: Making VGG-style ConvNets Great Again,Ding et al.,2021,CVPR,2101.03697,Computer Vision
150,MixNet: Mixed Depthwise Convolutional Kernels,Tan & Le,2019,BMVC,1907.09595,Computer Vision
151,Neural Tangent Kernel: Convergence and Generalization,Jacot et al.,2018,NeurIPS,1806.07572,Theory
152,Lottery Ticket Hypothesis: Finding Sparse Trainable Networks,Frankle & Carbin,2019,ICLR,1803.03635,Theory
153,Deep Double Descent: Where Bigger Models Do Better,Nakkiran et al.,2019,arXiv,1912.02292,Theory
154,Understanding Deep Learning Requires Rethinking Generalization,Zhang et al.,2017,ICLR,1611.03530,Theory
155,On the Measure of Intelligence,Chollet,2019,arXiv,1911.01547,Theory
156,Scaling Laws for Neural Language Models,Kaplan et al.,2020,arXiv,2001.08361,Theory
157,Training Compute-Optimal Large Language Models,Hoffmann et al.,2022,arXiv,2203.15556,Theory
158,Language Models are Few-Shot Learners (GPT-3 Analysis),Brown et al.,2020,NeurIPS,2005.14165,Theory
159,An Empirical Study of Example Forgetting,Toneva et al.,2019,ICLR,1812.05159,Theory
160,Curriculum Learning,Bengio et al.,2009,ICML,,Theory
161,Layer Normalization,Ba et al.,2016,arXiv,1607.06450,Deep Learning
162,Group Normalization,Wu & He,2018,ECCV,1803.08494,Deep Learning
163,Instance Normalization: The Missing Ingredient,Ulyanov et al.,2016,arXiv,1607.08022,Deep Learning
164,Weight Normalization: A Simple Reparameterization,Salimans & Kingma,2016,NeurIPS,1602.07868,Deep Learning
165,Spectral Normalization for GANs,Miyato et al.,2018,ICLR,1802.05957,Deep Learning
166,PReLU: Delving Deep into Rectifiers,He et al.,2015,ICCV,1502.01852,Deep Learning
167,ELU: Fast and Accurate Deep Network Learning,Clevert et al.,2016,ICLR,1511.07289,Deep Learning
168,GELU: Gaussian Error Linear Units,Hendrycks & Gimpel,2016,arXiv,1606.08415,Deep Learning
169,Swish: A Self-Gated Activation Function,Ramachandran et al.,2017,arXiv,1710.05941,Deep Learning
170,Mish: A Self Regularized Non-Monotonic Activation Function,Misra,2019,arXiv,1908.08681,Deep Learning
171,Label Smoothing: Rethinking the Inception Architecture,Szegedy et al.,2016,CVPR,1512.00567,Deep Learning
172,Mixup: Beyond Empirical Risk Minimization,Zhang et al.,2018,ICLR,1710.09412,Data Augmentation
173,CutMix: Regularization Strategy to Train Strong Classifiers,Yun et al.,2019,ICCV,1905.04899,Data Augmentation
174,AutoAugment: Learning Augmentation Strategies,Cubuk et al.,2019,CVPR,1805.09501,Data Augmentation
175,RandAugment: Practical automated data augmentation,Cubuk et al.,2020,CVPR,1909.13719,Data Augmentation
176,AugMax: Adversarial Composition of Random Augmentations,Wang et al.,2021,NeurIPS,2102.01815,Data Augmentation
177,CutOut: Improved Regularization of CNNs,DeVries & Taylor,2017,arXiv,1708.04552,Data Augmentation
178,GridMask Data Augmentation,Chen et al.,2020,arXiv,2001.04086,Data Augmentation
179,SpecAugment: A Simple Data Augmentation Method for ASR,Park et al.,2019,Interspeech,1904.08779,Data Augmentation
180,Focal Loss for Dense Object Detection,Lin et al.,2017,ICCV,1708.02002,Object Detection
181,RetinaNet: Focal Loss for Dense Object Detection,Lin et al.,2017,ICCV,1708.02002,Object Detection
182,Feature Pyramid Networks for Object Detection,Lin et al.,2017,CVPR,1612.03144,Object Detection
183,EfficientDet: Scalable and Efficient Object Detection,Tan et al.,2020,CVPR,1911.09070,Object Detection
184,DETR: End-to-End Object Detection with Transformers,Carion et al.,2020,ECCV,2005.12872,Object Detection
185,Deformable DETR: Deformable Transformers for End-to-End Object Detection,Zhu et al.,2021,ICLR,2010.04159,Object Detection
186,YOLOv2: Better Faster Stronger,Redmon & Farhadi,2017,CVPR,1612.08242,Object Detection
187,YOLOv3: An Incremental Improvement,Redmon & Farhadi,2018,arXiv,1804.02767,Object Detection
188,YOLOv4: Optimal Speed and Accuracy,Bochkovskiy et al.,2020,arXiv,2004.10934,Object Detection
189,YOLOv5: Ultralytics Implementation,Ultralytics,2020,GitHub,,Object Detection
190,YOLOX: Exceeding YOLO Series in 2021,Ge et al.,2021,arXiv,2107.08430,Object Detection
191,YOLOv7: Trainable bag-of-freebies,Wang et al.,2022,arXiv,2207.02696,Object Detection
192,YOLOv8: Next Generation of YOLO,Ultralytics,2023,GitHub,,Object Detection
193,SSD: Single Shot MultiBox Detector,Liu et al.,2016,ECCV,1512.02325,Object Detection
194,CornerNet: Detecting Objects as Paired Keypoints,Law & Deng,2018,ECCV,1808.01244,Object Detection
195,CenterNet: Keypoint Triplets for Object Detection,Duan et al.,2019,ICCV,1904.08189,Object Detection
196,PointNet: Deep Learning on Point Sets,Qi et al.,2017,CVPR,1612.00593,3D Vision
197,PointNet++: Deep Hierarchical Feature Learning,Qi et al.,2017,NeurIPS,1706.02413,3D Vision
198,VoxNet: A 3D CNN for Real-Time Object Recognition,Maturana & Scherer,2015,IROS,1505.00880,3D Vision
199,SECOND: Sparsely Embedded Convolutional Detection,Yan et al.,2018,Sensors,1801.10329,3D Vision
200,PointPillars: Fast Encoders for Object Detection,Lang et al.,2019,CVPR,1812.05784,3D Vision
201,NeRF: Neural Radiance Fields,Mildenhall et al.,2020,ECCV,2003.08934,3D Vision
202,Instant NGP: Instant Neural Graphics Primitives,Müller et al.,2022,SIGGRAPH,2201.05989,3D Vision
203,Plenoxels: Radiance Fields without Neural Networks,Yu et al.,2022,CVPR,2112.05131,3D Vision
204,3D Gaussian Splatting for Real-Time Radiance Field Rendering,Kerbl et al.,2023,SIGGRAPH,2308.04079,3D Vision
205,DreamFusion: Text-to-3D using 2D Diffusion,Poole et al.,2022,arXiv,2209.14988,3D Vision
206,GET3D: A Generative Model of High Quality 3D Textured Shapes,Gao et al.,2022,NeurIPS,2209.11163,3D Vision
207,Magic3D: High-Resolution Text-to-3D Content Creation,Lin et al.,2023,CVPR,2211.10440,3D Vision
208,Point-E: A System for Generating 3D Point Clouds from Text,Nichol et al.,2022,arXiv,2212.08751,3D Vision
209,Shap-E: Generating Conditional 3D Implicit Functions,Jun & Nichol,2023,arXiv,2305.02463,3D Vision
210,Semantic Segmentation: Fully Convolutional Networks,Long et al.,2015,CVPR,1411.4038,Semantic Segmentation
211,DeepLab: Semantic Image Segmentation,Chen et al.,2018,TPAMI,1606.00915,Semantic Segmentation
212,PSPNet: Pyramid Scene Parsing Network,Zhao et al.,2017,CVPR,1612.01105,Semantic Segmentation
213,SegNet: A Deep Convolutional Encoder-Decoder,Badrinarayanan et al.,2017,TPAMI,1511.00561,Semantic Segmentation
214,RefineNet: Multi-Path Refinement Networks,Lin et al.,2017,CVPR,1611.06612,Semantic Segmentation
215,HRNet: Deep High-Resolution Representation Learning,Wang et al.,2020,TPAMI,1908.07919,Semantic Segmentation
216,OCRNet: Object-Contextual Representations,Yuan et al.,2020,ECCV,1909.11065,Semantic Segmentation
217,SegFormer: Simple and Efficient Design,Xie et al.,2021,NeurIPS,2105.15203,Semantic Segmentation
218,Mask2Former: Masked-attention Mask Transformer,Cheng et al.,2022,CVPR,2112.01527,Semantic Segmentation
219,SAM: Segment Anything,Kirillov et al.,2023,ICCV,2304.02643,Semantic Segmentation
220,FastSAM: Fast Segment Anything,Zhao et al.,2023,arXiv,2306.12156,Semantic Segmentation
221,MobileSAM: Making SAM Lightweight,Zhang & Han,2023,arXiv,2306.14289,Semantic Segmentation
222,EfficientSAM: Leveraged Masked Image Pretraining,Xiong et al.,2023,arXiv,2312.00863,Semantic Segmentation
223,EdgeSAM: Prompt-In-the-Loop for Edge Devices,Ding et al.,2023,arXiv,2312.06660,Semantic Segmentation
224,Panoptic Segmentation,Kirillov et al.,2019,CVPR,1801.00868,Semantic Segmentation
225,EfficientPS: Efficient Panoptic Segmentation,Mohan & Valada,2021,IJCV,2004.02307,Semantic Segmentation
226,Video Object Segmentation: Space-Time Memory Networks,Oh et al.,2019,ICCV,1904.00607,Video Understanding
227,RAFT: Optical Flow Estimation,Teed & Deng,2020,ECCV,2003.12039,Video Understanding
228,SlowFast Networks for Video Recognition,Feichtenhofer et al.,2019,ICCV,1812.03982,Video Understanding
229,I3D: Quo Vadis Action Recognition,Carreira & Zisserman,2017,CVPR,1705.07750,Video Understanding
230,TimeSformer: Is Space-Time Attention All You Need,Bertasius et al.,2021,ICML,2102.05095,Video Understanding
231,VideoMAE: Masked Autoencoders are Data-Efficient Learners,Tong et al.,2022,NeurIPS,2203.12602,Video Understanding
232,ViViT: A Video Vision Transformer,Arnab et al.,2021,ICCV,2103.15691,Video Understanding
233,VideoSwin: Video Swin Transformer,Liu et al.,2022,CVPR,2106.13230,Video Understanding
234,MViT: Multiscale Vision Transformers,Fan et al.,2021,ICCV,2104.11227,Video Understanding
235,Video Diffusion Models,Ho et al.,2022,NeurIPS,2204.03458,Video Generation
236,Make-A-Video: Text-to-Video Generation,Singer et al.,2022,arXiv,2209.14792,Video Generation
237,Imagen Video: High Definition Video Generation,Ho et al.,2022,arXiv,2210.02303,Video Generation
238,Phenaki: Variable Length Video Generation,Villegas et al.,2022,arXiv,2210.02399,Video Generation
239,Gen-2: Runway Text-to-Video,Runway,2023,Blog,,Video Generation
240,Pika Labs: AI Video Generation,Pika,2023,Commercial,,Video Generation
241,Stable Video Diffusion,Blattmann et al.,2023,arXiv,2311.15127,Video Generation
242,AnimateDiff: Animate Your Personalized Text-to-Image,Guo et al.,2023,arXiv,2307.04725,Video Generation
243,DragGAN: Interactive Point-based Manipulation,Pan et al.,2023,SIGGRAPH,2305.10973,Image Editing
244,InstructPix2Pix: Learning to Follow Image Editing Instructions,Brooks et al.,2023,CVPR,2211.09800,Image Editing
245,ControlNet: Adding Conditional Control to Diffusion Models,Zhang & Agrawala,2023,ICCV,2302.05543,Image Editing
246,IP-Adapter: Text Compatible Image Prompt Adapter,Ye et al.,2023,arXiv,2308.06721,Image Editing
247,T2I-Adapter: Learning Adapters for Text-to-Image Diffusion,Mou et al.,2023,arXiv,2302.08453,Image Editing
248,Prompt-to-Prompt Image Editing with Cross Attention Control,Hertz et al.,2022,arXiv,2208.01626,Image Editing
249,DreamBooth: Fine Tuning Text-to-Image Diffusion,Ruiz et al.,2022,arXiv,2208.12242,Image Editing
250,LoRA: Low-Rank Adaptation of Large Language Models,Hu et al.,2021,ICLR,2106.09685,Efficient Training
251,QLoRA: Efficient Finetuning of Quantized LLMs,Dettmers et al.,2023,arXiv,2305.14314,Efficient Training
252,Adapter: Parameter-Efficient Transfer Learning,Houlsby et al.,2019,ICML,1902.00751,Efficient Training
253,Prefix-Tuning: Optimizing Continuous Prompts,Li & Liang,2021,ACL,2101.00190,Efficient Training
254,Prompt Tuning: The Power of Scale for Parameter-Efficient Prompt Tuning,Lester et al.,2021,EMNLP,2104.08691,Efficient Training
255,BitFit: Simple Parameter-efficient Fine-tuning,Zaken et al.,2022,ACL,2106.10199,Efficient Training
256,IA3: Few-Shot Parameter-Efficient Fine-Tuning,Liu et al.,2022,arXiv,2205.05638,Efficient Training
257,LLaMA-Adapter: Efficient Fine-tuning of LLaMA,Zhang et al.,2023,arXiv,2303.16199,Efficient Training
258,GPTQ: Accurate Post-Training Quantization,Frantar et al.,2023,ICLR,2210.17323,Model Compression
259,AWQ: Activation-aware Weight Quantization,Lin et al.,2023,arXiv,2306.00978,Model Compression
260,SmoothQuant: Accurate and Efficient Post-Training Quantization,Xiao et al.,2023,ICML,2211.10438,Model Compression
261,8-bit Optimizers via Block-wise Quantization,Dettmers et al.,2022,ICLR,2110.02861,Model Compression
262,ZeroQuant: Efficient and Affordable Post-Training Quantization,Yao et al.,2022,NeurIPS,2206.01861,Model Compression
263,LLM.int8(): 8-bit Matrix Multiplication,Dettmers et al.,2022,NeurIPS,2208.07339,Model Compression
264,SpQR: A Sparse-Quantized Representation for LLMs,Dettmers et al.,2023,arXiv,2306.03078,Model Compression
265,QuIP: 2-Bit Quantization of Large Language Models,Chee et al.,2023,arXiv,2307.13304,Model Compression
266,Prune Once for All: Sparse Pre-Trained Language Models,Chen et al.,2021,arXiv,2111.05754,Model Compression
267,Movement Pruning: Adaptive Sparsity by Fine-Tuning,Sanh et al.,2020,NeurIPS,2005.07683,Model Compression
268,Lottery Ticket Hypothesis for Pre-trained Models,Chen et al.,2021,NeurIPS,2012.06908,Model Compression
269,Knowledge Distillation: Distilling the Knowledge in a Neural Network,Hinton et al.,2015,NeurIPS Workshop,1503.02531,Model Compression
270,TinyBERT: Distilling BERT for Natural Language Understanding,Jiao et al.,2020,EMNLP,1909.10351,Model Compression
